reference	metric_key	metric_label	model	paper_id	value
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	AFD	0.163107
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	AlgorithmicCollectiveAction	0.274603
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Corba-LLM	0.094922
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	DyLAN	0.139000
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Dynamic-role-MA-LLM	0.179944
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Dynamic_Necklace_Splitting	0.074655
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Efficient-MM-Algo	0.358901
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	FCM_SIGMOD_CRV	0.237917
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Fair-Prompt-LLM	0.137196
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	FairSetCover	0.148011
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Fair_Epsilon_Net	0.180492
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Fairness-Expo-Rankings	0.432375
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Fast-Monte-Carlo	0.326629
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Gen-LLM	0.076819
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	HENN_ICLR_26-1	0.097852
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	INFINI-GRAM-MINI	0.085567
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Interactive-Learning	0.131416
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	LLM-Blender	0.122896
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	LSH-Curves	0.192205
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	MA-LLM-Debias	0.103052
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	MA-LLM-Judge	0.157598
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	MA-LLM-attack	0.214438
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Minoria	0.108613
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	MoA	0.086919
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Native-Sparse-Attention	0.305424
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	QR	0.177442
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	RRR	0.156082
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	RSR-Core	0.031722
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Random_access_Retrieval-5	0.181318
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Rankit-Askit	0.249514
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Reg-Min-Rep	0.129636
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	Trojan-LLM	0.135807
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	adv_res_paper	0.296332
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	auto-relate	0.144964
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	axolotl	0.181110
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	divergent-thinking	0.197418
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	eff-approx-query	0.152719
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	exp-ranking	0.095581
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	fairRQ	0.172384
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	local-stab-ranking	0.076823
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	mm-mlp	0.150577
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	multi-agent-collab	0.181616
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	query-refine	0.175492
Sonnet-4.6	jensen_shannon_divergence	JSD	gemma2:2b	ranked-ret	0.183129
