source,target,edge_weight,source_sigma_tech,target_sigma_tech,source_step6_mass,direct_step6_mass_contribution,direct_pi_contribution,direct_source_weighted_contribution,n_internal_citation_keys,used_citation_keys,all_candidate_citation_keys,edge_statuses
gemma2,AttentionAllYouNeed,0.04352752399465095,0.7778996290229296,0.6959386343807188,1.001513698232551,0.043593411530788974,0.03033833928873396,0.03391883949450828,1,"['(Vaswani etal., 2017)']","['(Vaswani etal., 2017)']",['paper_score']
struc-attention-net,N-Machine-Translation,0.040041232202185625,0.8046035663390813,0.8987638247391196,1.0047900780139254,0.040233032828207796,0.0361599944655346,0.03235203076392966,1,"['(Bahdanau et al., 2015)']","['(Bahdanau et al., 2015)']",['paper_score']
Smarter-Better-Faster-Longer,AttentionAllYouNeed,0.02749322454805539,0.7705028443367334,0.6959386343807188,1.0,0.02749322454805539,0.019133597146696123,0.021183607714265182,1,"['(Vaswani et al., 2017)']","['(Vaswani et al., 2017)']",['paper_score']
d-fine-redefine,yolov10,0.00809149832572678,0.8766456224765643,0.7898607453298011,1.0,0.00809149832572678,0.006391156898393392,0.007093376586524831,3,"['(Wang & Liao, 2024)', '(Wang et al., 2024a)', '(Wang et al., 2024b)']","['(Wang & Liao, 2024)', '(Wang et al., 2024a)', '(Wang et al., 2024b)']","['paper_score', 'paper_score', 'paper_score']"
AttentionAllYouNeed,LSM-Memory,0.006493418406515192,0.6959386343807188,0.7913051467797139,1.0791816195215838,0.007007577792174327,0.005545132373406769,0.004921822088064706,1,['[4]'],['[4]'],['paper_score']
AttentionAllYouNeed,Exploring-Limit-LLMs,0.006028220345243666,0.6959386343807188,0.8493738674938015,1.0791816195215838,0.00650554459501302,0.005525639572819606,0.004569215502449681,1,['[15]'],['[15]'],['paragraph_fallback']
AttentionAllYouNeed,N-Machine-Translation,0.005669888318604327,0.6959386343807188,0.8987638247391196,1.0791816195215838,0.006118839258177927,0.005499391374643872,0.004297610259546354,2,['[2]'],"['[2]', '(2)']","['paper_score', 'ignored_duplicate_missing']"
AttentionAllYouNeed,struc-attention-net,0.004438620828298512,0.6959386343807188,0.8046035663390813,1.0791816195215838,0.004790078013925422,0.003854113853046818,0.003364345351801806,1,['[19]'],['[19]'],['paper_score']
llama3,AttentionAllYouNeed,0.0043837135001096915,0.8763046291855822,0.6959386343807188,1.003299103959879,0.004398175826676879,0.0030608604785837957,0.0038526116969251983,1,"['(Vaswani et al., 2017)']","['(Vaswani et al., 2017)']",['paper_score']
Smarter-Better-Faster-Longer,llama3,0.0032991039598790897,0.7705028443367334,0.8763046291855822,1.0,0.0032991039598790897,0.0028910200722065313,0.002541968984849419,1,"['(Dubey et al., 2024)']","['(Dubey et al., 2024)']",['paper_score']
AttentionAllYouNeed,shift-reduce-const-pars,0.0026250338594892763,0.6959386343807188,0.7303691635192092,1.0791816195215838,0.0028328882917826306,0.0020690542520126415,0.001989699234318366,1,['[40]'],['[40]'],['paper_score']
YOLO-World-Real-Time,AttentionAllYouNeed,0.0021649211076923084,0.7763254659940139,0.6959386343807188,1.0,0.0021649211076923084,0.001506652239229378,0.001680683387769508,1,['[50]'],['[50]'],['paper_score']
kimiK2,AttentionAllYouNeed,0.0014992737892583286,0.9142591894780046,0.6959386343807188,1.0,0.0014992737892583286,0.0010434025534592467,0.0013707248393729362,1,['[73]'],['[73]'],['paper_score']
simPo,gemma2,0.0013112962710012293,0.8889679781955949,0.7778996290229296,1.0,0.0013112962710012293,0.0010200568827510071,0.0011657003948473857,1,['[72]'],['[72]'],['paper_score']
N-Machine-Translation,Gen-Sequences-RNN,0.0005728660023322826,0.8987638247391196,0.8247204088635341,1.0468813025007349,0.000599722706680009,0.0004946035558578824,0.0005360912549877752,1,"['(Graves, 2013)']","['(Graves, 2013)']",['paper_score']
output-embed-llm,N-Machine-Translation,0.0005293855575000656,0.7408135042819661,0.8987638247391196,1.0000847337981964,0.0005294304143490629,0.00047583290413358065,0.0003922074754947232,1,"['(Bahdanau et al., 2014)']","['(Bahdanau et al., 2014)']",['paper_score']
kimiK2,gemma2,0.00020240196154987434,0.9142591894780046,0.7778996290229296,1.0,0.00020240196154987434,0.0001574484108031605,0.00018504785331534637,1,['[70]'],['[70]'],['paper_score']
YOLO-World-Real-Time,Deep-Residual-Learning,0.00010608982459001504,0.7763254659940139,0.726945377585857,1.0,0.00010608982459001504,7.712150759460582e-05,8.236023251206661e-05,1,['[16]'],['[16]'],['paper_score']
AttentionAllYouNeed,Deep-Residual-Learning,9.045125839477794e-05,0.6959386343807188,0.726945377585857,1.0791816195215838,9.76133355222417e-05,7.095956304863094e-05,6.855942026067325e-05,1,['[11]'],['[11]'],['paper_score']
AttentionAllYouNeed,output-embed-llm,7.851671735657806e-05,0.6959386343807188,0.7408135042819661,1.0791816195215838,8.473379819639036e-05,6.277194197298888e-05,5.951338564294551e-05,1,['[30]'],['[30]'],['paper_score']
yolov10,AttentionAllYouNeed,3.235095144221872e-05,0.7898607453298011,0.6959386343807188,1.0080914983257268,3.26127191116491e-05,2.269645120200304e-05,2.5782224099791117e-05,1,['[58]'],['[58]'],['paper_score']
AttentionAllYouNeed,Gen-Sequences-RNN,6.279945282429153e-07,0.6959386343807188,0.8247204088635341,1.0791816195215838,6.777201520398823e-07,5.589296408853882e-07,4.7600156755469715e-07,1,['[10]'],['[10]'],['paper_score']
