reference	reference_tag	papers_evaluated	model	metric	value
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	qwen3:1.7b	Recall@4	0.470000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	qwen3:1.7b	Hit@4	0.880000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	qwen3:1.7b	MRR	0.480000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	qwen3:1.7b	nDCG@4	0.538969
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	qwen3:4b	Recall@4	0.425000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	qwen3:4b	Hit@4	0.920000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	qwen3:4b	MRR	0.451667
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	qwen3:4b	nDCG@4	0.526523
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	gemma2:2b	Recall@4	0.400000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	gemma2:2b	Hit@4	0.900000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	gemma2:2b	MRR	0.535000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	gemma2:2b	nDCG@4	0.524563
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	gemma3:4b	Recall@4	0.365000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	gemma3:4b	Hit@4	0.780000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	gemma3:4b	MRR	0.401667
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	gemma3:4b	nDCG@4	0.437822
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	phi3:medium	Recall@4	0.390000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	phi3:medium	Hit@4	0.820000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	phi3:medium	MRR	0.421667
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	phi3:medium	nDCG@4	0.479858
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	qwen2.5:3b	Recall@4	0.455000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	qwen2.5:3b	Hit@4	0.880000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	qwen2.5:3b	MRR	0.485000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	qwen2.5:3b	nDCG@4	0.545851
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	llama3.2:1b	Recall@4	0.425000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	llama3.2:1b	Hit@4	0.880000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	llama3.2:1b	MRR	0.483333
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	llama3.2:1b	nDCG@4	0.503917
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	llama3.2:3b	Recall@4	0.345000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	llama3.2:3b	Hit@4	0.780000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	llama3.2:3b	MRR	0.340000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	llama3.2:3b	nDCG@4	0.402887
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	Citation freq.	Recall@4	0.415000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	Citation freq.	Hit@4	0.880000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	Citation freq.	MRR	0.481667
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	Citation freq.	nDCG@4	0.514851
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	Length-wtd. freq.	Recall@4	0.425000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	Length-wtd. freq.	Hit@4	0.880000
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	Length-wtd. freq.	MRR	0.448333
Sonnet-4.6	anthropic_full_paper_claude_sonnet_4_6_direct	50	Length-wtd. freq.	nDCG@4	0.498214
