reference	reference_tag	papers_evaluated	model	metric	value
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	qwen3:1.7b	Recall@4	0.470000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	qwen3:1.7b	Hit@4	0.860000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	qwen3:1.7b	MRR	0.426667
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	qwen3:1.7b	nDCG@4	0.505744
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	qwen3:4b	Recall@4	0.460000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	qwen3:4b	Hit@4	0.900000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	qwen3:4b	MRR	0.320000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	qwen3:4b	nDCG@4	0.442800
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	gemma2:2b	Recall@4	0.435000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	gemma2:2b	Hit@4	0.880000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	gemma2:2b	MRR	0.416667
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	gemma2:2b	nDCG@4	0.475125
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	gemma3:4b	Recall@4	0.375000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	gemma3:4b	Hit@4	0.780000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	gemma3:4b	MRR	0.278333
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	gemma3:4b	nDCG@4	0.361313
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	phi3:medium	Recall@4	0.450000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	phi3:medium	Hit@4	0.860000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	phi3:medium	MRR	0.411667
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	phi3:medium	nDCG@4	0.486316
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	qwen2.5:3b	Recall@4	0.470000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	qwen2.5:3b	Hit@4	0.920000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	qwen2.5:3b	MRR	0.450000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	qwen2.5:3b	nDCG@4	0.507480
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	llama3.2:1b	Recall@4	0.475000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	llama3.2:1b	Hit@4	0.920000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	llama3.2:1b	MRR	0.366667
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	llama3.2:1b	nDCG@4	0.464790
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	llama3.2:3b	Recall@4	0.395000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	llama3.2:3b	Hit@4	0.860000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	llama3.2:3b	MRR	0.351667
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	llama3.2:3b	nDCG@4	0.421416
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	Citation freq.	Recall@4	0.460000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	Citation freq.	Hit@4	0.900000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	Citation freq.	MRR	0.486667
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	Citation freq.	nDCG@4	0.543881
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	Length-wtd. freq.	Recall@4	0.410000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	Length-wtd. freq.	Hit@4	0.900000
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	Length-wtd. freq.	MRR	0.433333
gpt-oss-120b	openai_full_paper_gpt_oss_120b	50	Length-wtd. freq.	nDCG@4	0.502083
