reference	metric_key	metric_label	model	paper_id	value
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	AFD	0.183175
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	AlgorithmicCollectiveAction	0.497202
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Corba-LLM	0.082442
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	DyLAN	0.203836
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Dynamic-role-MA-LLM	0.115604
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Dynamic_Necklace_Splitting	0.027809
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Efficient-MM-Algo	0.134737
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	FCM_SIGMOD_CRV	0.257797
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Fair-Prompt-LLM	0.138953
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	FairSetCover	0.068762
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Fair_Epsilon_Net	0.173893
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Fairness-Expo-Rankings	0.402911
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Fast-Monte-Carlo	0.291529
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Gen-LLM	0.079294
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	HENN_ICLR_26-1	0.176202
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	INFINI-GRAM-MINI	0.165899
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Interactive-Learning	0.092812
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	LLM-Blender	0.098962
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	LSH-Curves	0.055428
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	MA-LLM-Debias	0.054058
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	MA-LLM-Judge	0.188909
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	MA-LLM-attack	0.244817
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Minoria	0.114641
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	MoA	0.109841
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Native-Sparse-Attention	0.255592
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	QR	0.098965
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	RRR	0.096324
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	RSR-Core	0.038231
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Random_access_Retrieval-5	0.144580
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Rankit-Askit	0.221841
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Reg-Min-Rep	0.114039
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	Trojan-LLM	0.098394
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	adv_res_paper	0.292001
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	auto-relate	0.061839
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	axolotl	0.135004
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	divergent-thinking	0.210455
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	eff-approx-query	0.201841
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	exp-ranking	0.169514
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	fairRQ	0.168069
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	local-stab-ranking	0.077711
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	mm-mlp	0.153404
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	multi-agent-collab	0.221665
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	query-refine	0.122517
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	ranked-ret	0.226709
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	reg-ratio	0.155251
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	requal	0.095540
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	shapley	0.198405
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	synthesize-score	0.189937
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	uncertainty-LLM	0.132060
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma2:2b	unf-prms	0.450753
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	AFD	0.262376
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	AlgorithmicCollectiveAction	0.239707
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Corba-LLM	0.124997
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	DyLAN	0.202640
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Dynamic-role-MA-LLM	0.108528
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Dynamic_Necklace_Splitting	0.092479
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Efficient-MM-Algo	0.235809
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	FCM_SIGMOD_CRV	0.288249
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Fair-Prompt-LLM	0.135764
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	FairSetCover	0.112237
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Fair_Epsilon_Net	0.296612
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Fairness-Expo-Rankings	0.437197
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Fast-Monte-Carlo	0.321564
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Gen-LLM	0.220354
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	HENN_ICLR_26-1	0.202152
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	INFINI-GRAM-MINI	0.141391
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Interactive-Learning	0.206558
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	LLM-Blender	0.311901
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	LSH-Curves	0.078249
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	MA-LLM-Debias	0.066782
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	MA-LLM-Judge	0.218940
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	MA-LLM-attack	0.118070
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Minoria	0.202658
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	MoA	0.114775
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Native-Sparse-Attention	0.287617
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	QR	0.092214
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	RRR	0.083162
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	RSR-Core	0.067788
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Random_access_Retrieval-5	0.161782
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Rankit-Askit	0.229590
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Reg-Min-Rep	0.099038
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	Trojan-LLM	0.178345
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	adv_res_paper	0.371309
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	auto-relate	0.123301
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	axolotl	0.155107
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	divergent-thinking	0.209557
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	eff-approx-query	0.262091
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	exp-ranking	0.181687
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	fairRQ	0.150078
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	local-stab-ranking	0.148050
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	mm-mlp	0.171355
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	multi-agent-collab	0.270305
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	query-refine	0.145486
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	ranked-ret	0.185905
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	reg-ratio	0.213727
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	requal	0.196934
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	shapley	0.188269
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	synthesize-score	0.242271
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	uncertainty-LLM	0.164842
gpt-oss-120b	jensen_shannon_divergence	JSD	gemma3:4b	unf-prms	0.417028
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	AFD	0.290891
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	AlgorithmicCollectiveAction	0.530480
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Corba-LLM	0.066806
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	DyLAN	0.210809
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Dynamic-role-MA-LLM	0.153740
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Dynamic_Necklace_Splitting	0.050032
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Efficient-MM-Algo	0.213271
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	FCM_SIGMOD_CRV	0.299639
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Fair-Prompt-LLM	0.090388
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	FairSetCover	0.301370
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Fair_Epsilon_Net	0.250207
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Fairness-Expo-Rankings	0.392824
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Fast-Monte-Carlo	0.352402
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Gen-LLM	0.124533
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	HENN_ICLR_26-1	0.196109
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	INFINI-GRAM-MINI	0.177199
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Interactive-Learning	0.112281
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	LLM-Blender	0.101059
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	LSH-Curves	0.090262
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	MA-LLM-Debias	0.199103
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	MA-LLM-Judge	0.253455
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	MA-LLM-attack	0.172977
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Minoria	0.124345
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	MoA	0.147859
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Native-Sparse-Attention	0.276222
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	QR	0.105630
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	RRR	0.199462
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	RSR-Core	0.145896
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Random_access_Retrieval-5	0.173262
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Rankit-Askit	0.258674
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Reg-Min-Rep	0.075073
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	Trojan-LLM	0.115570
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	adv_res_paper	0.251824
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	auto-relate	0.084594
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	axolotl	0.266602
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	divergent-thinking	0.180381
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	eff-approx-query	0.118155
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	exp-ranking	0.173744
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	fairRQ	0.206723
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	local-stab-ranking	0.139552
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	mm-mlp	0.101906
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	multi-agent-collab	0.246764
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	query-refine	0.143169
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	ranked-ret	0.246696
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	reg-ratio	0.187609
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	requal	0.123980
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	shapley	0.207998
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	synthesize-score	0.151562
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	uncertainty-LLM	0.236800
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:1b	unf-prms	0.440682
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	AFD	0.273161
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	AlgorithmicCollectiveAction	0.369861
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Corba-LLM	0.113665
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	DyLAN	0.274066
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Dynamic-role-MA-LLM	0.118203
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Dynamic_Necklace_Splitting	0.039567
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Efficient-MM-Algo	0.178204
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	FCM_SIGMOD_CRV	0.272931
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Fair-Prompt-LLM	0.177813
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	FairSetCover	0.126735
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Fair_Epsilon_Net	0.216874
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Fairness-Expo-Rankings	0.240396
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Fast-Monte-Carlo	0.298814
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Gen-LLM	0.115938
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	HENN_ICLR_26-1	0.228624
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	INFINI-GRAM-MINI	0.234618
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Interactive-Learning	0.126281
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	LLM-Blender	0.294476
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	LSH-Curves	0.274404
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	MA-LLM-Debias	0.200816
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	MA-LLM-Judge	0.230953
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	MA-LLM-attack	0.116580
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Minoria	0.118903
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	MoA	0.420927
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Native-Sparse-Attention	0.299590
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	QR	0.201849
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	RRR	0.197166
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	RSR-Core	0.189748
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Random_access_Retrieval-5	0.156043
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Rankit-Askit	0.222255
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Reg-Min-Rep	0.068412
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	Trojan-LLM	0.140724
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	adv_res_paper	0.274822
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	auto-relate	0.109559
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	axolotl	0.272787
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	divergent-thinking	0.254156
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	eff-approx-query	0.419247
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	exp-ranking	0.163576
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	fairRQ	0.255748
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	local-stab-ranking	0.123627
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	mm-mlp	0.152848
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	multi-agent-collab	0.277024
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	query-refine	0.088856
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	ranked-ret	0.267652
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	reg-ratio	0.114707
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	requal	0.260416
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	shapley	0.139893
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	synthesize-score	0.230277
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	uncertainty-LLM	0.141362
gpt-oss-120b	jensen_shannon_divergence	JSD	llama3.2:3b	unf-prms	0.467939
gpt-oss-120b	jensen_shannon_divergence	JSD	qwen2.5:3b	AFD	0.196102
gpt-oss-120b	jensen_shannon_divergence	JSD	qwen2.5:3b	AlgorithmicCollectiveAction	0.400733
gpt-oss-120b	jensen_shannon_divergence	JSD	qwen2.5:3b	Corba-LLM	0.067978
