reference	metric_key	metric_label	model	paper_id	value
gpt-oss-120b	kl_divergence	KL	gemma2:2b	AFD	1.105457
gpt-oss-120b	kl_divergence	KL	gemma2:2b	AlgorithmicCollectiveAction	4.958583
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Corba-LLM	0.381340
gpt-oss-120b	kl_divergence	KL	gemma2:2b	DyLAN	7.911796
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Dynamic-role-MA-LLM	1.918877
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Dynamic_Necklace_Splitting	0.121983
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Efficient-MM-Algo	1.378641
gpt-oss-120b	kl_divergence	KL	gemma2:2b	FCM_SIGMOD_CRV	1.546286
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Fair-Prompt-LLM	0.621907
gpt-oss-120b	kl_divergence	KL	gemma2:2b	FairSetCover	0.376683
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Fair_Epsilon_Net	0.700349
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Fairness-Expo-Rankings	1.851578
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Fast-Monte-Carlo	1.521721
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Gen-LLM	0.602006
gpt-oss-120b	kl_divergence	KL	gemma2:2b	HENN_ICLR_26-1	0.691985
gpt-oss-120b	kl_divergence	KL	gemma2:2b	INFINI-GRAM-MINI	6.128401
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Interactive-Learning	0.414727
gpt-oss-120b	kl_divergence	KL	gemma2:2b	LLM-Blender	0.416917
gpt-oss-120b	kl_divergence	KL	gemma2:2b	LSH-Curves	1.660865
gpt-oss-120b	kl_divergence	KL	gemma2:2b	MA-LLM-Debias	0.487678
gpt-oss-120b	kl_divergence	KL	gemma2:2b	MA-LLM-Judge	4.391306
gpt-oss-120b	kl_divergence	KL	gemma2:2b	MA-LLM-attack	1.770573
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Minoria	0.858853
gpt-oss-120b	kl_divergence	KL	gemma2:2b	MoA	1.937179
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Native-Sparse-Attention	9.002740
gpt-oss-120b	kl_divergence	KL	gemma2:2b	QR	0.615503
gpt-oss-120b	kl_divergence	KL	gemma2:2b	RRR	0.574006
gpt-oss-120b	kl_divergence	KL	gemma2:2b	RSR-Core	0.189068
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Random_access_Retrieval-5	0.632671
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Rankit-Askit	1.697884
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Reg-Min-Rep	0.577819
gpt-oss-120b	kl_divergence	KL	gemma2:2b	Trojan-LLM	1.352342
gpt-oss-120b	kl_divergence	KL	gemma2:2b	adv_res_paper	1.258889
gpt-oss-120b	kl_divergence	KL	gemma2:2b	auto-relate	0.260752
gpt-oss-120b	kl_divergence	KL	gemma2:2b	axolotl	0.797677
gpt-oss-120b	kl_divergence	KL	gemma2:2b	divergent-thinking	4.681126
gpt-oss-120b	kl_divergence	KL	gemma2:2b	eff-approx-query	0.870442
gpt-oss-120b	kl_divergence	KL	gemma2:2b	exp-ranking	0.708224
gpt-oss-120b	kl_divergence	KL	gemma2:2b	fairRQ	1.370282
gpt-oss-120b	kl_divergence	KL	gemma2:2b	local-stab-ranking	0.300395
gpt-oss-120b	kl_divergence	KL	gemma2:2b	mm-mlp	0.644893
gpt-oss-120b	kl_divergence	KL	gemma2:2b	multi-agent-collab	1.749395
gpt-oss-120b	kl_divergence	KL	gemma2:2b	query-refine	1.064141
gpt-oss-120b	kl_divergence	KL	gemma2:2b	ranked-ret	1.008006
gpt-oss-120b	kl_divergence	KL	gemma2:2b	reg-ratio	0.759514
gpt-oss-120b	kl_divergence	KL	gemma2:2b	requal	0.391437
gpt-oss-120b	kl_divergence	KL	gemma2:2b	shapley	1.013479
gpt-oss-120b	kl_divergence	KL	gemma2:2b	synthesize-score	0.865267
gpt-oss-120b	kl_divergence	KL	gemma2:2b	uncertainty-LLM	0.890330
gpt-oss-120b	kl_divergence	KL	gemma2:2b	unf-prms	6.341212
gpt-oss-120b	kl_divergence	KL	gemma3:4b	AFD	1.955038
gpt-oss-120b	kl_divergence	KL	gemma3:4b	AlgorithmicCollectiveAction	1.211071
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Corba-LLM	0.725494
gpt-oss-120b	kl_divergence	KL	gemma3:4b	DyLAN	7.692688
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Dynamic-role-MA-LLM	2.110933
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Dynamic_Necklace_Splitting	0.306353
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Efficient-MM-Algo	1.331905
gpt-oss-120b	kl_divergence	KL	gemma3:4b	FCM_SIGMOD_CRV	1.245725
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Fair-Prompt-LLM	3.743660
gpt-oss-120b	kl_divergence	KL	gemma3:4b	FairSetCover	0.684176
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Fair_Epsilon_Net	1.453634
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Fairness-Expo-Rankings	1.964113
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Fast-Monte-Carlo	3.925745
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Gen-LLM	3.155969
gpt-oss-120b	kl_divergence	KL	gemma3:4b	HENN_ICLR_26-1	0.860595
gpt-oss-120b	kl_divergence	KL	gemma3:4b	INFINI-GRAM-MINI	5.861200
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Interactive-Learning	0.803110
gpt-oss-120b	kl_divergence	KL	gemma3:4b	LLM-Blender	3.777297
gpt-oss-120b	kl_divergence	KL	gemma3:4b	LSH-Curves	0.307435
gpt-oss-120b	kl_divergence	KL	gemma3:4b	MA-LLM-Debias	0.468570
gpt-oss-120b	kl_divergence	KL	gemma3:4b	MA-LLM-Judge	4.301667
gpt-oss-120b	kl_divergence	KL	gemma3:4b	MA-LLM-attack	2.708472
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Minoria	0.780820
gpt-oss-120b	kl_divergence	KL	gemma3:4b	MoA	1.612810
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Native-Sparse-Attention	8.738561
gpt-oss-120b	kl_divergence	KL	gemma3:4b	QR	0.509991
gpt-oss-120b	kl_divergence	KL	gemma3:4b	RRR	0.372740
gpt-oss-120b	kl_divergence	KL	gemma3:4b	RSR-Core	0.302397
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Random_access_Retrieval-5	0.722933
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Rankit-Askit	2.868462
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Reg-Min-Rep	0.502540
gpt-oss-120b	kl_divergence	KL	gemma3:4b	Trojan-LLM	0.935915
gpt-oss-120b	kl_divergence	KL	gemma3:4b	adv_res_paper	1.791526
gpt-oss-120b	kl_divergence	KL	gemma3:4b	auto-relate	0.541248
gpt-oss-120b	kl_divergence	KL	gemma3:4b	axolotl	0.890758
gpt-oss-120b	kl_divergence	KL	gemma3:4b	divergent-thinking	3.542569
gpt-oss-120b	kl_divergence	KL	gemma3:4b	eff-approx-query	1.135375
gpt-oss-120b	kl_divergence	KL	gemma3:4b	exp-ranking	0.957859
gpt-oss-120b	kl_divergence	KL	gemma3:4b	fairRQ	0.996562
gpt-oss-120b	kl_divergence	KL	gemma3:4b	local-stab-ranking	0.761062
gpt-oss-120b	kl_divergence	KL	gemma3:4b	mm-mlp	0.813352
gpt-oss-120b	kl_divergence	KL	gemma3:4b	multi-agent-collab	1.666435
gpt-oss-120b	kl_divergence	KL	gemma3:4b	query-refine	0.910363
gpt-oss-120b	kl_divergence	KL	gemma3:4b	ranked-ret	0.756277
gpt-oss-120b	kl_divergence	KL	gemma3:4b	reg-ratio	1.045215
gpt-oss-120b	kl_divergence	KL	gemma3:4b	requal	2.423154
gpt-oss-120b	kl_divergence	KL	gemma3:4b	shapley	0.841608
gpt-oss-120b	kl_divergence	KL	gemma3:4b	synthesize-score	1.015139
gpt-oss-120b	kl_divergence	KL	gemma3:4b	uncertainty-LLM	0.802304
gpt-oss-120b	kl_divergence	KL	gemma3:4b	unf-prms	5.992189
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	AFD	6.347160
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	AlgorithmicCollectiveAction	7.790405
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	Corba-LLM	0.364950
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	DyLAN	8.117754
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	Dynamic-role-MA-LLM	1.770469
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	Dynamic_Necklace_Splitting	0.179041
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	Efficient-MM-Algo	1.266806
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	FCM_SIGMOD_CRV	1.420793
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	Fair-Prompt-LLM	0.463795
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	FairSetCover	12.812048
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	Fair_Epsilon_Net	3.082866
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	Fairness-Expo-Rankings	1.693694
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	Fast-Monte-Carlo	1.912866
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	Gen-LLM	0.657713
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	HENN_ICLR_26-1	0.946518
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	INFINI-GRAM-MINI	8.220901
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	Interactive-Learning	0.509547
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	LLM-Blender	0.503161
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	LSH-Curves	2.221993
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	MA-LLM-Debias	0.924035
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	MA-LLM-Judge	4.723169
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	MA-LLM-attack	0.902563
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	Minoria	1.936024
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	MoA	1.932003
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	Native-Sparse-Attention	10.453256
gpt-oss-120b	kl_divergence	KL	llama3.2:1b	QR	0.439204
